state,state_abb,established,pop,total_area,land_area,water_area
Alabama,AL,1819-12-14,4903185,52420,50645,1775
Alaska,AK,1959-01-03,731545,665384,570641,94743
Arizona,AZ,1912-02-14,7278717,113990,113594,396
Arkansas,AR,1836-06-15,3017804,53179,52035,1143
California,CA,1850-09-09,39512223,163695,155779,7916
Colorado,CO,1876-08-01,5758736,104094,103642,452
Connecticut,CT,1788-01-09,3565278,5543,4842,701
Delaware,DE,1787-12-07,973764,2489,1949,540
Florida,FL,1845-03-03,21477737,65758,53625,12133
Georgia,GA,1788-01-02,10617423,59425,57513,1912
Hawaii,HI,1959-08-21,1415872,10932,6423,4509
Idaho,ID,1890-07-03,1787065,83569,82643,926
Illinois,IL,1818-12-03,12671821,57914,55519,2395
Indiana,IN,1816-12-11,6732219,36420,35826,593
Iowa,IA,1846-12-28,3155070,56273,55857,416
Kansas,KS,1861-01-29,2913314,82278,81759,520
Kentucky,KY,1792-06-01,4467673,40408,39486,921
Louisiana,LA,1812-04-30,4648794,52378,43204,9174
Maine,ME,1820-03-15,1344212,35380,30843,4537
Maryland,MD,1788-04-28,6045680,12406,9707,2699
Massachusetts,MA,1788-02-06,6892503,10554,7800,2754
Michigan,MI,1837-01-26,9986857,96714,56539,40175
Minnesota,MN,1858-05-11,5639632,86936,79627,7309
Mississippi,MS,1817-12-10,2976149,48432,46923,1508
Missouri,MO,1821-08-10,6137428,69707,68742,965
Montana,MT,1889-11-08,1068778,147040,145546,1494
Nebraska,NE,1867-03-01,1934408,77348,76824,524
Nevada,NV,1864-10-31,3080156,110572,109781,791
New Hampshire,NH,1788-06-21,1359711,9349,8953,397
New Jersey,NJ,1787-12-18,8882190,8723,7354,1368
New Mexico,NM,1912-01-06,2096829,121590,121298,292
New York,NY,1788-07-26,19453561,54555,47126,7429
North Carolina,NC,1789-11-21,10488084,53819,48618,5201
North Dakota,ND,1889-11-02,762062,70698,69001,1698
Ohio,OH,1803-03-01,11689100,44826,40861,3965
Oklahoma,OK,1907-11-16,3956971,69899,68595,1304
Oregon,OR,1859-02-14,4217737,98379,95988,2391
Pennsylvania,PA,1787-12-12,12801989,46054,44743,1312
Rhode Island,RI,1790-05-29,1059361,1545,1034,511
South Carolina,SC,1788-05-23,5148714,32020,30061,1960
South Dakota,SD,1889-11-02,884659,77116,75811,1305
Tennessee,TN,1796-06-01,6829174,42144,41235,909
Texas,TX,1845-12-29,28995881,268596,261232,7365
Utah,UT,1896-01-04,3205958,84897,82170,2727
Vermont,VT,1791-03-04,623989,9616,9217,400
Virginia,VA,1788-06-25,8535519,42775,39490,3285
Washington,WA,1889-11-11,7614893,71298,66456,4842
West Virginia,WV,1863-06-20,1792147,24230,24038,192
Wisconsin,WI,1848-05-29,5822434,65496,54158,11339
Wyoming,WY,1890-07-10,578759,97813,97093,720
